id,label,type,name,source,source_id,uri,modifiers
3dfc57d4-d9c3-45af-b6d2-57a7fbe83e16,BiologicalTerm,biological-object,GABA receptor complex,GO,GO:1902710,,[]
3e06269a-aa0c-4761-a437-39c1b67df976,BiologicalTerm,biological-process,apoptotic process,GO,GO:0006915,,[]
3e1cde14-fc7c-441e-9807-6ef540159850,KeyEvent,key-event,"Decreased, Synthesis of NE",AOPWiki,,,[]
3e25df1a-bd95-418b-94f0-222ba6bd67cc,BiologicalTerm,biological-process,preneoplasia,MP,MP:0002009,,[]
3e298fe2-dbae-4da9-8538-1782a31324bb,KeyEvent,key-event,"Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)",AOPWiki,,,[]
3e4e980c-e151-4f61-bb6e-1b0bc79ce7f6,KeyEvent,key-event,Airway remodeling,AOPWiki,,,[]
3e683be4-2513-4425-9fae-3a08ab8fa68c,BiologicalTerm,biological-process,iodide transport,GO,GO:0015705,,[]
3e7ed781-7557-4905-bb56-8fbbd8443a21,Taxon,taxonomy,rabbit,common toxicological species,WCS_9986,,[]
3e88eb33-c50e-44c7-b154-ec22efcfd300,Chemical,chemical,Apicidin,DSSTox,DTXSID40274182,,"[""stressor""]"
3e9777ae-5e13-473d-b203-bbdf4ce733cd,KeyEvent,key-event,decreased DNA methylation of tyrosine hydroxylase,AOPWiki,,,[]
3eb53477-41ab-4e4b-a89c-193cbf705dc3,KeyEvent,key-event,"Activation, JNK",AOPWiki,,,[]
3ec8fde8-63c9-4ef9-a6b3-5efbe5fd4afe,BiologicalTerm,biological-object,5-hydroxytryptamine receptor 2C,PR,PR:000001168,,[]
3ecf7210-38e0-4276-b20b-922ea93fc78f,BiologicalTerm,biological-process,abnormal ovulation,MP,MP:0001928,,[]
3ee066ba-a23e-4128-9779-0168d58311fd,BiologicalTerm,biological-process,demyelination,MP,MP:0000921,,[]
3ef1a91a-bbc3-4d35-bd3a-197cd7f9847c,Taxon,taxonomy,Mustela lutreola,NCBI,9666,,[]
3f0479d0-b948-4b5a-97af-97deb0eb86a9,Taxon,taxonomy,Hyalophora cecropia,NCBI,7123,,[]
3f06705c-6d03-4475-8abf-397d7aa6d18c,KeyEvent,key-event,Increased pro-inflammatory mediators,AOPWiki,,,[]
3f09ae5b-8079-419f-bfb1-063e8b440bdf,BiologicalTerm,biological-process,increased energy expenditure,MP,MP:0004889,,[]
3f0e9032-9caf-41dc-8ad0-0ed78cd6a8f8,AOP,aop,ER mediated breast cancer AOP,AOPWiki,,,[]
3f231d21-3840-4a0e-aec9-254af2251fff,KeyEvent,key-event,Inhibition of fatty acid beta oxidation,AOPWiki,,,[]
3f2b673b-919f-4c4e-8c9b-c5ffa9fec437,AOP,aop,Binding and activation of GPER leading to learning and memory impairments,AOPWiki,,,[]
3f30a46a-ecf4-4b47-aa53-35b8b3e7499d,KeyEvent,key-event,"Sexual behavior, decreased",AOPWiki,,,[]
3f3713fd-5b7b-4302-96ea-30d8b96d9a91,BiologicalTerm,biological-process,neuron death,GO,GO:0070997,,[]
3f3a856b-ef39-447e-8a6c-a7c21c9befa6,BiologicalTerm,biological-process,swim bladder inflation,GO,GO:0048798,,[]
3f3d381d-8778-46cd-a0ca-9f3e89af468a,KeyEvent,key-event,"Reduced, Swimming performance",AOPWiki,,,[]
3f455ebc-b448-4a73-b21b-44b50a867d3a,KeyEvent,key-event,"Increased, De Novo FA synthesis",AOPWiki,,,[]
3f472d26-5b13-48fc-a8a2-3b3749a1ea62,Stressor,stressor,Gluten,,,,"[""stressor""]"
3f71e16c-2e5b-4b4e-a646-18d036964121,KeyEvent,key-event,Decreased lung function,AOPWiki,,,[]
3f71e756-0819-4e37-ac71-0ae62c96dbde,KeyEvent,key-event,Metabolic syndrome,AOPWiki,,,[]
